"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","OVEROBESE","MEASURED","PC_POP15","A","1980",36.5,
"AUS","OVEROBESE","MEASURED","PC_POP15","A","1983",39.7,
"AUS","OVEROBESE","MEASURED","PC_POP15","A","1989",43.8,
"AUS","OVEROBESE","MEASURED","PC_POP15","A","1995",59.2,"B"
"AUS","OVEROBESE","MEASURED","PC_POP15","A","2007",61.2,
"AUS","OVEROBESE","MEASURED","PC_POP15","A","2011",63.4,
"AUS","OVEROBESE","MEASURED","PC_POP15","A","2014",63.4,
"AUS","OVEROBESE","SELFREPORTED","PC_POP15","A","1995",38.7,
"AUS","OVEROBESE","SELFREPORTED","PC_POP15","A","2001",50,
"AUS","OVEROBESE","SELFREPORTED","PC_POP15","A","2004",53.5,
"AUS","OVEROBESE","SELFREPORTED","PC_POP15","A","2007",56,
"AUT","OVEROBESE","SELFREPORTED","PC_POP15","A","1991",42,
"AUT","OVEROBESE","SELFREPORTED","PC_POP15","A","1999",46.1,
"AUT","OVEROBESE","SELFREPORTED","PC_POP15","A","2006",47.7,
"AUT","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",46.7,
"BEL","OVEROBESE","SELFREPORTED","PC_POP15","A","1997",41.3,
"BEL","OVEROBESE","SELFREPORTED","PC_POP15","A","2001",44.5,
"BEL","OVEROBESE","SELFREPORTED","PC_POP15","A","2004",44.1,
"BEL","OVEROBESE","SELFREPORTED","PC_POP15","A","2008",46.9,
"BEL","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",48.1,
"CAN","OVEROBESE","MEASURED","PC_POP15","A","2004",56.8,
"CAN","OVEROBESE","MEASURED","PC_POP15","A","2005",57.7,
"CAN","OVEROBESE","MEASURED","PC_POP15","A","2008",60,
"CAN","OVEROBESE","MEASURED","PC_POP15","A","2010",58.6,
"CAN","OVEROBESE","MEASURED","PC_POP15","A","2013",60.3,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","1994",48.6,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","1996",48,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","1998",50.6,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2001",48.2,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2003",49.4,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2005",48.2,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2007",49.1,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2008",49.5,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2009",50,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2010",50.6,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2011",50.5,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2012",50.9,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",52.1,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",52.5,
"CZE","OVEROBESE","SELFREPORTED","PC_POP15","A","1993",47.1,
"CZE","OVEROBESE","SELFREPORTED","PC_POP15","A","1996",45.8,
"CZE","OVEROBESE","SELFREPORTED","PC_POP15","A","1999",50.2,
"CZE","OVEROBESE","SELFREPORTED","PC_POP15","A","2002",51.1,
"CZE","OVEROBESE","SELFREPORTED","PC_POP15","A","2008",54.3,
"FIN","OVEROBESE","MEASURED","PC_POP15","A","1979",53.6,
"FIN","OVEROBESE","MEASURED","PC_POP15","A","2000",63.6,
"FIN","OVEROBESE","MEASURED","PC_POP15","A","2011",65,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1978",34,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1979",38.3,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1980",37.2,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1981",36.3,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1982",37.5,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1983",37,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1984",36.4,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1985",35.2,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1986",36.9,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1987",36.4,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1988",36.7,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1989",38.5,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1990",37.7,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1991",38.4,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1992",40.8,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1993",39.1,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1994",41.7,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1995",44.1,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1996",42.4,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1997",42.4,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1998",43.4,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","1999",42.5,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2000",43.4,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2001",44.1,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2002",45.3,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2003",45,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2004",45.3,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2005",49.2,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2006",47.7,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2007",48.9,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2008",48.8,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2009",49.3,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2010",49.7,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2011",50.8,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2012",49.4,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",49.9,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",49.8,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","1990",29.7,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","1991",29.8,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","1992",30.9,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","1993",31.5,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","1994",30.5,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","1995",33.4,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","1996",35.2,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","1997",33.4,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","1998",34.4,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","2000",36.2,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","2002",37.5,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","2004",34.7,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","2006",37,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","2008",38.2,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","2010",42.9,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","2012",44.4,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",45.5,
"DEU","OVEROBESE","SELFREPORTED","PC_POP15","A","1999",47.7,
"DEU","OVEROBESE","SELFREPORTED","PC_POP15","A","2003",49.2,
"DEU","OVEROBESE","SELFREPORTED","PC_POP15","A","2005",49.6,
"DEU","OVEROBESE","SELFREPORTED","PC_POP15","A","2009",51.4,
"DEU","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",52.4,
"GRC","OVEROBESE","SELFREPORTED","PC_POP15","A","2006",57.7,
"GRC","OVEROBESE","SELFREPORTED","PC_POP15","A","2008",58.9,
"GRC","OVEROBESE","SELFREPORTED","PC_POP15","A","2009",55.8,"B"
"GRC","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",56.3,
"HUN","OVEROBESE","MEASURED","PC_POP15","A","1988",45.7,
"HUN","OVEROBESE","MEASURED","PC_POP15","A","2009",61.6,
"HUN","OVEROBESE","MEASURED","PC_POP15","A","2014",62.3,
"HUN","OVEROBESE","SELFREPORTED","PC_POP15","A","2000",51.4,
"HUN","OVEROBESE","SELFREPORTED","PC_POP15","A","2003",52.8,
"HUN","OVEROBESE","SELFREPORTED","PC_POP15","A","2009",53.6,
"HUN","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",53.9,
"ISL","OVEROBESE","SELFREPORTED","PC_POP15","A","1990",36.5,
"ISL","OVEROBESE","SELFREPORTED","PC_POP15","A","2002",48.3,
"ISL","OVEROBESE","SELFREPORTED","PC_POP15","A","2007",60.2,
"ISL","OVEROBESE","SELFREPORTED","PC_POP15","A","2010",58.5,
"ISL","OVEROBESE","SELFREPORTED","PC_POP15","A","2012",63.3,
"IRL","OVEROBESE","MEASURED","PC_POP15","A","2007",61,
"IRL","OVEROBESE","MEASURED","PC_POP15","A","2015",61,"B"
"IRL","OVEROBESE","SELFREPORTED","PC_POP15","A","1998",43,
"IRL","OVEROBESE","SELFREPORTED","PC_POP15","A","2002",48,
"IRL","OVEROBESE","SELFREPORTED","PC_POP15","A","2007",51,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","1994",38.1,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","1999",41.2,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2000",41.1,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2001",42.4,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2002",42,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2003",42.6,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2005",44.6,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2006",45.1,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2007",45.5,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2008",45.5,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2009",46.3,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2010",46,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2011",45.8,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2012",46,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",45.8,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",46.4,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1978",19.6,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1979",18.6,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1980",19.4,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1981",21,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1982",20.6,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1983",20.5,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1984",19.6,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1985",19.8,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1986",20.2,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1987",20.8,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1988",20.2,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1989",20.9,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1990",22,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1991",22.4,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1992",22.7,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1993",22.8,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1994",21.5,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1995",22.2,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1996",21.9,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1997",22,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1998",23.6,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1999",23.1,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2000",23.8,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2001",24.4,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2002",25.7,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2003",24.7,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2004",24,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2005",24.9,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2006",25.1,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2007",24.8,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2008",24.2,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2009",25.1,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2010",25.3,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2011",25.5,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2012",23.7,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2013",24.1,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2014",24.7,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","1998",24.3,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","2001",29.4,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","2005",30.5,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","2007",31,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","2008",30.1,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","2009",30.5,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","2010",30.2,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","2011",30.7,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","2012",31.8,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","2013",31.5,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","2014",30.8,
"KOR","OVEROBESE","SELFREPORTED","PC_POP15","A","2008",21.4,
"KOR","OVEROBESE","SELFREPORTED","PC_POP15","A","2009",22.3,
"KOR","OVEROBESE","SELFREPORTED","PC_POP15","A","2010",22.6,
"KOR","OVEROBESE","SELFREPORTED","PC_POP15","A","2011",23.3,
"KOR","OVEROBESE","SELFREPORTED","PC_POP15","A","2012",24.1,
"KOR","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",24.4,
"KOR","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",25,
"LUX","OVEROBESE","MEASURED","PC_POP15","A","1997",47,
"LUX","OVEROBESE","MEASURED","PC_POP15","A","1998",48.5,
"LUX","OVEROBESE","MEASURED","PC_POP15","A","1999",48.4,
"LUX","OVEROBESE","MEASURED","PC_POP15","A","2000",50.1,
"LUX","OVEROBESE","MEASURED","PC_POP15","A","2001",51.8,
"LUX","OVEROBESE","MEASURED","PC_POP15","A","2002",51.6,
"LUX","OVEROBESE","MEASURED","PC_POP15","A","2003",52.8,
"LUX","OVEROBESE","MEASURED","PC_POP15","A","2004",52.8,
"LUX","OVEROBESE","MEASURED","PC_POP15","A","2005",53.3,
"LUX","OVEROBESE","MEASURED","PC_POP15","A","2006",54.6,
"LUX","OVEROBESE","MEASURED","PC_POP15","A","2007",54.8,
